Date,Price,Open,High,Low,Vol.,Change %,SMA_7,SMA_30,RSI_14,Vol_30
2018-01-11,13535.4,15046.7,15109.1,13048.3,167810.0,-10.02,15526.914285714285,15553.876666666667,46.24158677910584,7.07362704277156
2018-01-12,13886.7,13529.2,14176.4,13410.0,82370.0,2.6,15088.614285714286,15473.873333333333,47.86181012834464,7.051495553443193
2018-01-13,14292.2,13896.0,14640.7,13888.2,61140.0,2.92,14677.17142857143,15401.35,58.48571015462733,7.071604704976623
2018-01-14,13695.2,14291.9,14446.1,13094.7,85120.0,-4.18,14315.314285714285,15271.03,49.19607152469918,6.975062937960129
2018-01-15,13697.5,13695.5,14396.6,13475.4,73270.0,0.02,14132.642857142857,15082.763333333334,51.36549397791001,6.690198225676861
2018-01-16,11362.0,13704.4,13711.0,10050.7,317100.0,-17.05,13644.57142857143,14825.973333333333,33.49455511542095,7.30971912443701
2018-01-17,11192.3,11357.7,11769.6,9271.3,361800.0,-1.49,13094.471428571429,14566.640000000001,30.26317099638314,7.307478023057648
2018-01-18,11245.4,11202.0,12004.7,10660.2,242450.0,0.47,12767.328571428572,14357.363333333333,30.46810622979136,7.221303126899878
2018-01-19,11580.2,11229.6,11973.2,10901.5,170740.0,2.98,12437.828571428572,14194.636666666665,18.870328753763175,7.200581873039432
2018-01-20,12858.9,11579.2,13082.2,11567.3,143900.0,11.04,12233.07142857143,14102.196666666667,27.751758856136036,7.475776329193989
2018-01-21,11594.9,12857.1,12860.2,11164.5,206960.0,-9.83,11933.028571428571,14033.193333333333,26.865194683246344,7.336510343684369
2018-01-22,10864.8,11597.5,11970.9,10136.8,201730.0,-6.3,11528.357142857143,13915.470000000001,28.342358667439598,7.336428207961552
2018-01-23,10903.2,10869.0,11438.0,10056.6,188370.0,0.35,11462.814285714285,13819.243333333334,29.237610500893723,7.307752016881054
2018-01-24,11452.3,10899.4,11549.5,10584.5,136060.0,5.04,11499.957142857142,13739.87,31.33169042638231,7.376913537064981
2018-01-25,11203.0,11439.9,11740.9,10983.8,181810.0,-2.18,11493.9,13588.083333333334,36.04823658892369,6.871856112927631
2018-01-26,11118.1,11203.1,11655.3,10389.4,253910.0,-0.76,11427.885714285714,13444.8,32.8938263061069,6.867738137584747
2018-01-27,11467.5,11118.0,11621.7,10908.4,163490.0,3.14,11229.114285714284,13347.093333333332,32.42536988409417,6.816605789009501
2018-01-28,11795.1,11471.2,12112.7,11433.3,154630.0,2.86,11257.714285714286,13260.51,37.76796405251403,6.844241946051525
2018-01-29,11244.8,11794.9,11888.1,11119.0,137420.0,-4.67,11312.0,13217.62,35.25117560036878,6.480496256008265
2018-01-30,10166.0,11244.5,11277.2,9917.7,264720.0,-9.59,11206.685714285715,13094.806666666667,41.52758493658703,6.377578009273351
2018-01-31,10265.4,10166.3,10397.7,9742.2,208470.0,0.98,11037.128571428571,12988.823333333334,43.36782151996922,6.373013470066918
2018-02-01,9181.1,10266.2,10303.0,8789.2,358400.0,-10.56,10748.285714285714,12803.056666666667,37.12885485895926,6.304286955952094
2018-02-02,8893.2,9179.8,9201.4,7915.8,519400.0,-3.14,10430.442857142858,12594.276666666667,33.1476882164943,6.263587978771858
